categories_alias,categories_title,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,rating,location,coordinates,photos,hours
chiropractors,Chiropractors,4mDnxk4oezRMlVUXo5MJ8A,holmes-chiropractic-american-fork,Holmes Chiropractic,https://s3-media2.fl.yelpcdn.com/bphoto/DAa4iV5f-q_xMx-i3P3UDw/o.jpg,True,False,https://www.yelp.com/biz/holmes-chiropractic-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18016921027,(801) 692-1027,9,5.0,"{'address1': '477 W 30th N', 'address2': None, 'address3': '', 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['477 W 30th N', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.3774, 'longitude': -111.81147}","['https://s3-media2.fl.yelpcdn.com/bphoto/DAa4iV5f-q_xMx-i3P3UDw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/2XkeT3HbTL5OqwSD17TcKg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/03Dq6Mm6KWwkhpz6KECb0A/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1200', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1200', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1200', 'day': 4}, {'is_overnight': False, 'start': '1400', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
chiropractors,Chiropractors,iwMe9XYxb5cP1QdJxSlSuA,utah-chiropractic-and-rehab-american-fork,Utah Chiropractic and Rehab,https://s3-media1.fl.yelpcdn.com/bphoto/iAmXwMNdfzk-X4UXH9HNbA/o.jpg,True,False,https://www.yelp.com/biz/utah-chiropractic-and-rehab-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18016923231,(801) 692-3231,3,5.0,"{'address1': '321 E 300th N', 'address2': 'Ste B', 'address3': '', 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['321 E 300th N', 'Ste B', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.38335, 'longitude': -111.789825}","['https://s3-media1.fl.yelpcdn.com/bphoto/iAmXwMNdfzk-X4UXH9HNbA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/YoofBhB0bJkZLeCihMYtpQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
massage_therapy,Massage Therapy,iwMe9XYxb5cP1QdJxSlSuA,utah-chiropractic-and-rehab-american-fork,Utah Chiropractic and Rehab,https://s3-media1.fl.yelpcdn.com/bphoto/iAmXwMNdfzk-X4UXH9HNbA/o.jpg,True,False,https://www.yelp.com/biz/utah-chiropractic-and-rehab-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18016923231,(801) 692-3231,3,5.0,"{'address1': '321 E 300th N', 'address2': 'Ste B', 'address3': '', 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['321 E 300th N', 'Ste B', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.38335, 'longitude': -111.789825}","['https://s3-media1.fl.yelpcdn.com/bphoto/iAmXwMNdfzk-X4UXH9HNbA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/YoofBhB0bJkZLeCihMYtpQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
chiropractors,Chiropractors,jXVU7lOuGYg3B374jIM6oA,jay-grant-american-fork-chiropractic-american-fork,Jay Grant - American Fork Chiropractic,https://s3-media2.fl.yelpcdn.com/bphoto/PwndKkSCKSzQ_vFqWGoICg/o.jpg,True,False,https://www.yelp.com/biz/jay-grant-american-fork-chiropractic-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18017566868,(801) 756-6868,4,5.0,"{'address1': '201 W Main St', 'address2': '', 'address3': '', 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['201 W Main St', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.3765824, 'longitude': -111.8042019}","['https://s3-media2.fl.yelpcdn.com/bphoto/PwndKkSCKSzQ_vFqWGoICg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/tcLUbBkHBq0YaGBXZDwnCQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/a491NEn1kHs0T6bVsI5WbQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '1300', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0930', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '1300', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0930', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '0930', 'end': '1700', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
chiropractors,Chiropractors,9M-crQNhIPEpLybIFutuVQ,gunn-chiropractic-american-fork-2,Gunn Chiropractic,https://s3-media1.fl.yelpcdn.com/bphoto/AH4QQqrK9oNKbhd_vBVCYw/o.jpg,True,False,https://www.yelp.com/biz/gunn-chiropractic-american-fork-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014928188,(801) 492-8188,4,5.0,"{'address1': '340 W Main St', 'address2': None, 'address3': None, 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['340 W Main St', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.3770017, 'longitude': -111.8074654}","['https://s3-media1.fl.yelpcdn.com/bphoto/AH4QQqrK9oNKbhd_vBVCYw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/koe2yLudWYKaiiSBk2p1PQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Ksn0Dgcgndk5UaYB-XxlEQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1300', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1300', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
massage_therapy,Massage Therapy,9M-crQNhIPEpLybIFutuVQ,gunn-chiropractic-american-fork-2,Gunn Chiropractic,https://s3-media1.fl.yelpcdn.com/bphoto/AH4QQqrK9oNKbhd_vBVCYw/o.jpg,True,False,https://www.yelp.com/biz/gunn-chiropractic-american-fork-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014928188,(801) 492-8188,4,5.0,"{'address1': '340 W Main St', 'address2': None, 'address3': None, 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['340 W Main St', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.3770017, 'longitude': -111.8074654}","['https://s3-media1.fl.yelpcdn.com/bphoto/AH4QQqrK9oNKbhd_vBVCYw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/koe2yLudWYKaiiSBk2p1PQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Ksn0Dgcgndk5UaYB-XxlEQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1300', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1300', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
chiropractors,Chiropractors,n-RsdhfWp912-_hgFA_bqg,american-fork-chiropractic-and-wellness-center-american-fork,American Fork Chiropractic and Wellness Center,https://s3-media3.fl.yelpcdn.com/bphoto/RA6CMcURXYDa-Z9furXc7w/o.jpg,False,False,https://www.yelp.com/biz/american-fork-chiropractic-and-wellness-center-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18017560111,(801) 756-0111,1,5.0,"{'address1': '495 W 30th N', 'address2': '', 'address3': '', 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['495 W 30th N', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.3775, 'longitude': -111.8117}",['https://s3-media3.fl.yelpcdn.com/bphoto/RA6CMcURXYDa-Z9furXc7w/o.jpg'],"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
chiropractors,Chiropractors,6SdPuy80xUHaeO3odnmzFw,rekover-chiropractic-center-american-fork,Rekover Chiropractic Center,https://s3-media2.fl.yelpcdn.com/bphoto/zSoY3WpIHLoHKivhRZoKbw/o.jpg,True,False,https://www.yelp.com/biz/rekover-chiropractic-center-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18018556101,(801) 855-6101,6,4.5,"{'address1': '17 N Merchant St', 'address2': 'Ste 3', 'address3': None, 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['17 N Merchant St', 'Ste 3', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.377364, 'longitude': -111.799495}","['https://s3-media2.fl.yelpcdn.com/bphoto/zSoY3WpIHLoHKivhRZoKbw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/FLAUJppdsv7ptPH0S5Kvkw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/CIT7MlyOSUzdmkMd0iMj-w/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
sportsmed,Sports Medicine,6SdPuy80xUHaeO3odnmzFw,rekover-chiropractic-center-american-fork,Rekover Chiropractic Center,https://s3-media2.fl.yelpcdn.com/bphoto/zSoY3WpIHLoHKivhRZoKbw/o.jpg,True,False,https://www.yelp.com/biz/rekover-chiropractic-center-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18018556101,(801) 855-6101,6,4.5,"{'address1': '17 N Merchant St', 'address2': 'Ste 3', 'address3': None, 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['17 N Merchant St', 'Ste 3', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.377364, 'longitude': -111.799495}","['https://s3-media2.fl.yelpcdn.com/bphoto/zSoY3WpIHLoHKivhRZoKbw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/FLAUJppdsv7ptPH0S5Kvkw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/CIT7MlyOSUzdmkMd0iMj-w/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1830', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
chiropractors,Chiropractors,UkRNXUq9eLfduVQCS8snWg,spinal-rehab-of-north-county-pleasant-grove,Spinal Rehab of North County,https://s3-media1.fl.yelpcdn.com/bphoto/Qn_2DxweEOnOkndCIr_2vg/o.jpg,True,False,https://www.yelp.com/biz/spinal-rehab-of-north-county-pleasant-grove?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014929300,(801) 492-9300,3,5.0,"{'address1': '1988 W 930th N', 'address2': None, 'address3': None, 'city': 'Pleasant Grove', 'zip_code': '84062', 'country': 'US', 'state': 'UT', 'display_address': ['1988 W 930th N', 'Pleasant Grove, UT 84062'], 'cross_streets': ''}","{'latitude': 40.37398, 'longitude': -111.76862}","['https://s3-media1.fl.yelpcdn.com/bphoto/Qn_2DxweEOnOkndCIr_2vg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/0uEKhpYX9bkO4De0jLbgKA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/RBcofJP3Kzx7qSihBDtQoA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0830', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0830', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0830', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0830', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0830', 'end': '1400', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
chiropractors,Chiropractors,8s4j-QmfgaRL5ls1DPNIJg,doc-rock-stone-chiropractic-american-fork,Doc Rock Stone Chiropractic,https://s3-media1.fl.yelpcdn.com/bphoto/jWGiTq7aYwSa5pt10jmpHA/o.jpg,True,False,https://www.yelp.com/biz/doc-rock-stone-chiropractic-american-fork?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18017850788,(801) 785-0788,3,5.0,"{'address1': '1042 E Bamberger Dr', 'address2': '', 'address3': '', 'city': 'American Fork', 'zip_code': '84003', 'country': 'US', 'state': 'UT', 'display_address': ['1042 E Bamberger Dr', 'American Fork, UT 84003'], 'cross_streets': ''}","{'latitude': 40.3719315, 'longitude': -111.7707301}","['https://s3-media1.fl.yelpcdn.com/bphoto/jWGiTq7aYwSa5pt10jmpHA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/U9stbYTF31qNyWOKuv_C6g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/XbrrFFQOLB6jAL9kY9RubQ/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 3}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
