,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,location,coordinates,photos,hours,transactions,price,messaging
0,T3X94hcEtH8AYQfvz7DMuw,walgreens-salt-lake-city-6,Walgreens,https://s3-media4.fl.yelpcdn.com/bphoto/gVpRwk99rsqfV3AbGqLhrQ/o.jpg,True,False,https://www.yelp.com/biz/walgreens-salt-lake-city-6?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18015310583,(801) 531-0583,1,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}, {'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'drugstores', 'title': 'Drugstores'}]",4.0,"{'address1': '72 S Main St', 'address2': '', 'address3': None, 'city': 'Salt Lake City', 'zip_code': '84101', 'country': 'US', 'state': 'UT', 'display_address': ['72 S Main St', 'Salt Lake City, UT 84101'], 'cross_streets': ''}","{'latitude': 40.7676021045218, 'longitude': -111.891380287707}",['https://s3-media4.fl.yelpcdn.com/bphoto/gVpRwk99rsqfV3AbGqLhrQ/o.jpg'],"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
1,bUHXoIKli4jp42tQPa-XGQ,walgreens-salt-lake-city-2,Walgreens,https://s3-media2.fl.yelpcdn.com/bphoto/my1qz2hw6chL_WGSxj0uaQ/o.jpg,True,False,https://www.yelp.com/biz/walgreens-salt-lake-city-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014780703,(801) 478-0703,26,"[{'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}, {'alias': 'convenience', 'title': 'Convenience Stores'}]",2.5,"{'address1': '531 E 400 S', 'address2': None, 'address3': None, 'city': 'Salt Lake City', 'zip_code': '84102', 'country': 'US', 'state': 'UT', 'display_address': ['531 E 400 S', 'Salt Lake City, UT 84102'], 'cross_streets': ''}","{'latitude': 40.761236, 'longitude': -111.875667}","['https://s3-media2.fl.yelpcdn.com/bphoto/my1qz2hw6chL_WGSxj0uaQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/P8J8Mc73vHdLlxj2DmBgPg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/9WVE315hRQAamJGfjSMH6w/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],$$,
2,tG59fT-Rv5TaVyRjMrrGYg,vrx-pharmacy-salt-lake-city-2,VRX Pharmacy,https://s3-media3.fl.yelpcdn.com/bphoto/E2VzSQHLxThma3Iquu86Bw/o.jpg,True,False,https://www.yelp.com/biz/vrx-pharmacy-salt-lake-city-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18012368879,(801) 236-8879,5,"[{'alias': 'drugstores', 'title': 'Drugstores'}]",4.0,"{'address1': '50 E South Temple', 'address2': 'Ste 145', 'address3': '', 'city': 'Salt Lake City', 'zip_code': '84150', 'country': 'US', 'state': 'UT', 'display_address': ['50 E South Temple', 'Ste 145', 'Salt Lake City, UT 84150'], 'cross_streets': ''}","{'latitude': 40.7697518, 'longitude': -111.8894026}","['https://s3-media3.fl.yelpcdn.com/bphoto/E2VzSQHLxThma3Iquu86Bw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/1DwrQ5byDPG4RDlgrEPkGg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],$$,
3,878_qYebwKMthZFRvIwduQ,walgreens-salt-lake-city-7,Walgreens,,True,False,https://www.yelp.com/biz/walgreens-salt-lake-city-7?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18015213560,(801) 521-3560,1,"[{'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}, {'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'convenience', 'title': 'Convenience Stores'}]",3.0,"{'address1': '150 North 900 West', 'address2': '', 'address3': None, 'city': 'Salt Lake City', 'zip_code': '84116', 'country': 'US', 'state': 'UT', 'display_address': ['150 North 900 West', 'Salt Lake City, UT 84116'], 'cross_streets': ''}","{'latitude': 40.772864, 'longitude': -111.915462}",[],"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
4,JRpPeDxZbUhprMUI1pT-nQ,university-pharmacy-salt-lake-city,University Pharmacy,https://s3-media2.fl.yelpcdn.com/bphoto/dT35V8zNdfMbS0l6byQkOg/o.jpg,True,False,https://www.yelp.com/biz/university-pharmacy-salt-lake-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18015827624,(801) 582-7624,18,"[{'alias': 'drugstores', 'title': 'Drugstores'}]",4.0,"{'address1': '1320 E 200th S', 'address2': '', 'address3': '', 'city': 'Salt Lake City', 'zip_code': '84102', 'country': 'US', 'state': 'UT', 'display_address': ['1320 E 200th S', 'Salt Lake City, UT 84102'], 'cross_streets': ''}","{'latitude': 40.764735, 'longitude': -111.852998}","['https://s3-media2.fl.yelpcdn.com/bphoto/dT35V8zNdfMbS0l6byQkOg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/VqpzK9ntgjKaY8J6VH78BQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/EGGLauOMz0qu2quB2u5jUg/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],$$,
5,4YMPaAkUjlRk_0BUZRNdKw,cvs-pharmacy-salt-lake-city-2,CVS Pharmacy,https://s3-media2.fl.yelpcdn.com/bphoto/KqjRpq43OAdSrxESBdAn5g/o.jpg,True,False,https://www.yelp.com/biz/cvs-pharmacy-salt-lake-city-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014860695,(801) 486-0695,8,"[{'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'pharmacy', 'title': 'Pharmacy'}, {'alias': 'convenience', 'title': 'Convenience Stores'}]",2.5,"{'address1': '1269 E 2100th S', 'address2': '', 'address3': None, 'city': 'Salt Lake City', 'zip_code': '84106', 'country': 'US', 'state': 'UT', 'display_address': ['1269 E 2100th S', 'Salt Lake City, UT 84106'], 'cross_streets': ''}","{'latitude': 40.7257, 'longitude': -111.8543}","['https://s3-media2.fl.yelpcdn.com/bphoto/KqjRpq43OAdSrxESBdAn5g/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/2wwaf79ox1Zg8awzAnsslA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/ORPVHADPlQZLfFHGcXN5SA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],,
6,7hx_1HI2GSuSw2iW9VUuzQ,walgreens-salt-lake-city-4,Walgreens,https://s3-media3.fl.yelpcdn.com/bphoto/LEXe4wunJvQ76EihccEH4w/o.jpg,True,False,https://www.yelp.com/biz/walgreens-salt-lake-city-4?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18014634870,(801) 463-4870,43,"[{'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'cosmetics', 'title': 'Cosmetics & Beauty Supply'}, {'alias': 'convenience', 'title': 'Convenience Stores'}]",2.5,"{'address1': '909 E 2100 S', 'address2': '', 'address3': '', 'city': 'Salt Lake City', 'zip_code': '84106', 'country': 'US', 'state': 'UT', 'display_address': ['909 E 2100 S', 'Salt Lake City, UT 84106'], 'cross_streets': ''}","{'latitude': 40.7259225, 'longitude': -111.8648997}","['https://s3-media3.fl.yelpcdn.com/bphoto/LEXe4wunJvQ76EihccEH4w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/CNN9phDRlAaxhoQHYgdpPA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Cp6O498slRMXI0WZIg8J1A/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],$$,
7,SuJGu6xryGFk-apHoT4Lcw,cvs-pharmacy-west-valley-city,CVS Pharmacy,https://s3-media2.fl.yelpcdn.com/bphoto/6rEKakik57ZJm8rP0EmINQ/o.jpg,True,False,https://www.yelp.com/biz/cvs-pharmacy-west-valley-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18019632389,(801) 963-2389,17,"[{'alias': 'drugstores', 'title': 'Drugstores'}, {'alias': 'pharmacy', 'title': 'Pharmacy'}, {'alias': 'convenience', 'title': 'Convenience Stores'}]",3.0,"{'address1': '3148 West 3500 S', 'address2': '', 'address3': '', 'city': 'West Valley City', 'zip_code': '84119', 'country': 'US', 'state': 'UT', 'display_address': ['3148 West 3500 S', 'West Valley City, UT 84119'], 'cross_streets': ''}","{'latitude': 40.697258, 'longitude': -111.96648}","['https://s3-media2.fl.yelpcdn.com/bphoto/6rEKakik57ZJm8rP0EmINQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/vLMvEg0277_dwvJYfYHr5Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/xqfFuZr1jR47kkoNJmL16g/o.jpg']","[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],$$,
8,OpaQDSqSHQUlMhmvF7QDhQ,smiths-marketplace-salt-lake-city-2,Smith's Marketplace,https://s3-media3.fl.yelpcdn.com/bphoto/Rxhlmo_UpqUXZobXTX-zGw/o.jpg,True,False,https://www.yelp.com/biz/smiths-marketplace-salt-lake-city-2?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18013286000,(801) 328-6000,73,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'drugstores', 'title': 'Drugstores'}]",3.0,"{'address1': '455 S 500th E', 'address2': '', 'address3': '', 'city': 'Salt Lake City', 'zip_code': '84102', 'country': 'US', 'state': 'UT', 'display_address': ['455 S 500th E', 'Salt Lake City, UT 84102'], 'cross_streets': ''}","{'latitude': 40.7593054426782, 'longitude': -111.875622419054}","['https://s3-media3.fl.yelpcdn.com/bphoto/Rxhlmo_UpqUXZobXTX-zGw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/Od15-61kmVXVu694VS_5qg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/XiOgMUo1x7ErHYOju_-UWA/o.jpg']","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",[],$$,
9,hsW259sY89GApZ-O6HP59g,the-apothecary-shoppe-salt-lake-city,The Apothecary Shoppe,,True,False,https://www.yelp.com/biz/the-apothecary-shoppe-salt-lake-city?adjust_creative=hE8bi2YODO-vfPOp0t5Rkw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hE8bi2YODO-vfPOp0t5Rkw,+18015216353,(801) 521-6353,5,"[{'alias': 'drugstores', 'title': 'Drugstores'}]",5.0,"{'address1': '82 South 1100 East', 'address2': 'Suite 104', 'address3': '', 'city': 'Salt Lake City', 'zip_code': '84102', 'country': 'US', 'state': 'UT', 'display_address': ['82 South 1100 East', 'Suite 104', 'Salt Lake City, UT 84102'], 'cross_streets': ''}","{'latitude': 40.7677194075627, 'longitude': -111.860156835968}",[],"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",[],$$,
